1,2003,Dinosaur Planet,151647,Planet Dinosaur,1.963021,fr,Planet Dinosaur,[99, 16],False,2011-10-19
1,2003,Dinosaur Planet,171222,Planet Dinosaur: Ultimate Killers,1.730553,en,Planet Dinosaur: Ultimate Killers,[99],False,2012-08-19
1,2003,Dinosaur Planet,194423,Dinosaur Planet,1.071148,en,Dinosaur Planet,[99, 16],False,2003-12-14
1,2003,Dinosaur Planet,58691,Bikini Girls on Dinosaur Planet,1.781904,en,Bikini Girls on Dinosaur Planet,[12, 878],False,2005-07-26
1,2003,Dinosaur Planet,38020,Planet of Dinosaurs,1.562027,en,Planet of Dinosaurs,[878, 53, 28],False,1977-11-18
1,2003,Dinosaur Planet,406027,Walking With Dinosaurs : Prehistoric Planet,1.053243,en,Walking With Dinosaurs : Prehistoric Planet,[10751, 12, 16],False,2016-05-04
1,2003,Dinosaur Planet,15096,20 Million Miles to Earth,11.950398,en,20 Million Miles to Earth,[878],False,1957-02-08
3,1997,Character,313866,Wildcard Character,1.01059,en,Wildcard Character,[],False,2013-01-01
3,1997,Character,163110,Character Studies,1.002307,en,Character Studies,[],False,1927-11-20
3,1997,Character,203217,My Mom Is a Character,6.172031,pt,Minha Mãe é uma Peça,[35],False,2013-06-21
3,1997,Character,367521,A Suspicious Character,1.083796,sr,Sumnjivo lice,[35],False,1954-01-01
3,1997,Character,396197,A Girl with Character,1.034047,ru,Девушка с характером,[35],False,1939-03-20
3,1997,Character,278095,A Gift with a Character,1.288567,ru,Подарок с характером,[35, 10751],False,2014-05-22
3,1997,Character,443561,Character Studies (II),1.001884,en,Character Studies (II),[],False,1928-03-15
3,1997,Character,464673,The Unforgettable Character,1.000024,zh,The Unforgettable Character,[10749, 18],False,1975-06-05
3,1997,Character,17139,Character,1.172619,nl,Karakter,[18, 10769, 36],False,1997-04-17
3,1997,Character,227932,My Mom Is a Character 2,4.937836,pt,Minha Mãe é Uma Peça 2,[35],False,2016-12-22
3,1997,Character,362387,Sculpted in Time: The Character,1.016475,en,Sculpted in Time: The Character,[],False,2014-10-06
3,1997,Character,226106,The Italian Character,1.01602,de,Die italienische Art,[99],False,2013-10-04
3,1997,Character,418773,Molly Picon, The Celebrated Character Comedienne,1.001732,en,Molly Picon, The Celebrated Character Comedienne,[],False,1929-09-30
3,1997,Character,321323,Figaro!: Living in the Moment of a Character,1.005884,en,Figaro!: Living in the Moment of a Character,[],False,2010-01-01
3,1997,Character,400502,Who Will Teach Me the Half of the Character,1.00353,en,Kdo mě naučí půl znaku,[99],False,2006-05-16
3,1997,Character,69813,Alyosha Ptitsyn Develops Character,1.001803,ru,Alyosha Ptitsyn Vyrabatyvaet Kharakter,[10751],False,1953-06-06
3,1997,Character,368282,How to Judge a Character by the face,1,en,How to Judge a Character by the face,[],False,
3,1997,Character,398976,Morning Musume Tanjou 15 Shuunen Kinen Concert Tour 2012 Aki: Colorful Character,1.011814,en,Morning Musume Tanjou 15 Shuunen Kinen Concert Tour 2012 Aki: Colorful Character,[10402],False,2013-03-13
3,1997,Character,139998,Supporting Characters,2.037556,en,Supporting Characters,[18, 35],False,2012-01-23
3,1997,Character,425629,160 Characters,1.034138,en,160 Characters,[],False,2015-10-24
3,1997,Character,294884,Unsavory Characters,1.001177,en,Unsavory Characters,[],False,2001-01-01
3,1997,Character,260178,Chinese Characters,1.000241,en,Chinese Characters,[],False,1986-01-01
3,1997,Character,92273,Desperate Characters,1.000001,en,Desperate Characters,[18],False,1971-09-22
3,1997,Character,412134,Characters,1.011571,ko,캐릭터,[18],False,2011-11-17
3,1997,Character,24823,Adam Hills: Characterful And Joymonger,1.042941,en,Adam Hills: Characterful And Joymonger,[],False,2008-11-20
3,1997,Character,412226,Ray Stevens - Funniest Video Characters,1.002379,en,Ray Stevens - Funniest Video Characters,[],False,2004-01-01
3,1997,Character,356011,The Characteristics of C-Minor,1.019778,en,The Characteristics of C-Minor,[99],False,2014-02-23
3,1997,Character,233394,Six Characters in Search of An Author,1.293017,en,Six Characters in Search of An Author,[],False,1992-12-12
3,1997,Character,100817,P-38 Flight Characteristics,1.001177,en,P-38 Flight Characteristics,[10752, 99],False,1943-01-01
3,1997,Character,357826,Jackie Gleason's Cavalcade of Characters,1,en,Jackie Gleason's Cavalcade of Characters,[],False,
3,1997,Character,435301,Six Characters in Search of An Author,1.046556,en,Six Characters in Search of An Author,[],False,1976-10-14
3,1997,Character,297502,Count It Down: Greatest Animated Movie Characters,1.010588,en,Count It Down: Greatest Animated Movie Characters,[],False,2013-04-15
3,1997,Character,469384,100 Years of Universal: Unforgettable Characters,1.000844,en,100 Years of Universal: Unforgettable Characters,[],False,
3,1997,Character,435147,From Puppets to Pixels: Digital Characters in 'Episode II',1.215482,en,From Puppets to Pixels: Digital Characters in 'Episode II',[],False,
3,1997,Character,319886,Pictoplasma: Characters in Motion: Vol. 1,1.000559,en,Pictoplasma: Characters in Motion: Vol. 1,[],False,
3,1997,Character,383769,Creating the World of Harry Potter, Part 2: Characters,1.006236,en,Creating the World of Harry Potter, Part 2: Characters,[99],False,2009-12-08
3,1997,Character,318884,Parade of Characters (Asia in America) St. Louis Exposition,1.001177,en,Parade of Characters (Asia in America) St. Louis Exposition,[],False,1904-01-17
3,1997,Character,29726,Steve Coogan - Live As Alan Partridge And Other Less Successful Characters,1.009937,en,Steve Coogan - Live As Alan Partridge And Other Less Successful Characters,[35],False,2009-11-30
3,1997,Character,192449,All Characters Are Imaginary,1.094992,en,Shob Charitro Kalponik,[],False,2009-04-01
3,1997,Character,239071,Journey Through the Labyrinth,1.473503,en,Journey Through the Labyrinth,[99],False,2007-08-01
